,Tweet Date,Tweet ID,Tweet text,Tweet Location
101,2020-08-12 19:01:46,1293623730296496128,"Food is the epicenter of family gatherings— the absence of good food restricts a community’s ability to celebrate, heal, learn, and create.

#jxnms
#goodthingsjxn
#fertilegroundjxn 
#thisisfertileground
#muralsjxn
#foodsecurity
#publicartchallenge","Jackson, MS"
102,2020-08-12 19:00:16,1293623352771457024,"New mural up at #ANDGallery in Midtown 
“Reach” by Ava Davis and Lucie Cooper is a depiction of people’s strain to acquire things that should already be readily available. Even though all of the food is on one table, some hands have to work harder than others. https://t.co/e4HIbGIowg","Jackson, MS"
103,2020-08-11 14:31:03,1293193213310894081,"RT @UConnRuddCenter: As officials around the country debate school reopening, one of the factors under discussion is access to meals. #Covi…","Jackson, MS"
104,2020-08-07 15:10:13,1291753519448547329,"RT @MSHumanities: On Tuesday night, we're continuing the conversation on systemic racism in America's education and housing systems. Join u…","Jackson, MS"
105,2020-08-05 19:02:08,1291087107117789184,"RT @keaux_: my first story for @19thnews + @southerlymag is about the one-and-only Nettie, and what it takes to restore a connection with t…","Jackson, MS"
106,2020-08-05 19:01:41,1291086996644024321,"RT @JacksonMedMall: UPDATE: Due to seasonal changes, The Farmer's Market will be open on Fridays only from noon until 5 pm! See you on Frid…","Jackson, MS"
107,2020-08-05 18:54:23,1291085157865263104,RT @southerlymag: .@keaux_'s cousin Nettie came home to Mississippi to reconnect with the land. She's not alone: In Jackson and across the…,"Jackson, MS"
108,2020-08-05 18:46:24,1291083149536002048,"RT @uverneous: “It’s a particularly painful irony in rural swaths of the state, where people live surrounded by rolling farmland but remain…","Jackson, MS"
109,2020-08-05 18:39:13,1291081342449573888,"Replanting roots in a Southern food desert https://t.co/oe7f0Uq7qs via @19thnews by @keaux_ discusses how people are reconnecting with their food systems thru the rise of small-scale farmers, self determination of land ownership, &amp; cultural connections of how we feed ourselves.","Jackson, MS"
110,2020-08-05 15:00:47,1291026369594429443,"@cassiaspeaks @ChokweALumumba @Makani_Themba @DoleSunshine Thank you for acknowledging and bringing up the importance of accountability. With our local community partners we make accountability from Dole a large part of our conversations. Would be happy to have a call, talk through the pilot program, and get some feedback from you. 💚","Jackson, MS"
111,2020-08-04 19:53:14,1290737579831238656,RT @thekimshadey: Mississippi farmers can now start applying for Hemp license,"Jackson, MS"
112,2020-08-04 15:04:36,1290664944304881665,"RT @CivilEats: Big Meat put most small slaughterhouses out of business. Those left are demonstrating their resilience, but their limited nu…","Jackson, MS"
113,2020-08-04 00:13:11,1290440612026744835,"Veal ends with an optimistic call to action, ""The potential is there. It’s all about what we do with it. No one should go hungry and hopefully, a few years from now, no one will.""

#foodaccess #thisisfertileground #publicartchallenge","Jackson, MS"
114,2020-08-04 00:07:51,1290439269614526464,RT @tylertadlock: Great piece on the @_fertileground_  doc by @MSFreePress. https://t.co/D6Lnyx9FzT,"Jackson, MS"
